Epoch 0 | Train Loss: 49.419003800128365 | Test Loss: 71.87889398154566
Epoch 45 | Train Loss: 9.77875621648545 | Test Loss: 7.86345602294146
Epoch 46 | Train Loss: 8.525199812270225 | Test Loss: 8.229964724031545
Epoch 47 | Train Loss: 9.328543590516485 | Test Loss: 6.7978443192728495
Epoch 48 | Train Loss: 9.659090465053598 | Test Loss: 6.773776506468401
Epoch 49 | Train Loss: 8.87103567018788 | Test Loss: 10.278006386453823
Epoch 50 | Train Loss: 8.682401183184156 | Test Loss: 7.9745562985792
Epoch 51 | Train Loss: 9.82641440788482 | Test Loss: 7.041690975175065
Epoch 52 | Train Loss: 8.75040372153546 | Test Loss: 6.850329750170142
Epoch 53 | Train Loss: 8.431323613194708 | Test Loss: 8.201785471479772
Epoch 54 | Train Loss: 8.775248058409767 | Test Loss: 8.526243426031986
Epoch 55 | Train Loss: 8.439196708639885 | Test Loss: 8.352321853577081
Epoch 56 | Train Loss: 8.435364649841127 | Test Loss: 9.558068136289968
Epoch 57 | Train Loss: 7.789944249851272 | Test Loss: 7.43888116185948
Epoch 58 | Train Loss: 8.575171514140798 | Test Loss: 15.239157242290045
Epoch 59 | Train Loss: 8.470560665460344 | Test Loss: 8.419368665223404
Epoch 60 | Train Loss: 8.888041812561928 | Test Loss: 6.323557333420899
Epoch 61 | Train Loss: 8.471445918178304 | Test Loss: 6.987415609218306
Epoch 62 | Train Loss: 9.196690842889724 | Test Loss: 6.3152522717492054
Epoch 63 | Train Loss: 7.839839465789338 | Test Loss: 6.097079279753617
Epoch 64 | Train Loss: 7.1942533085796425 | Test Loss: 7.768925850169134
Epoch 65 | Train Loss: 8.323927924132093 | Test Loss: 8.845328541630405
Epoch 66 | Train Loss: 7.069680525505162 | Test Loss: 8.886950411028781
Epoch 67 | Train Loss: 8.074011791323093 | Test Loss: 5.992962144946648
Epoch 68 | Train Loss: 8.475599426379864 | Test Loss: 6.2677660182876105
Epoch 69 | Train Loss: 7.9194718488828935 | Test Loss: 5.993938501482293
Epoch 70 | Train Loss: 7.462248105539921 | Test Loss: 5.761198927032745
Epoch 71 | Train Loss: 7.976426525374359 | Test Loss: 7.43893560666149
Epoch 72 | Train Loss: 8.050597853419628 | Test Loss: 8.75043435268483
Epoch 73 | Train Loss: 7.006437478579105 | Test Loss: 6.339846472303241
Epoch 74 | Train Loss: 7.250791393109458 | Test Loss: 7.018084314162448
Epoch 75 | Train Loss: 7.5820912746672935 | Test Loss: 7.059024373858662
Epoch 76 | Train Loss: 7.188562591801933 | Test Loss: 8.331745183063767
Epoch 77 | Train Loss: 8.987394383977703 | Test Loss: 17.192277158215894
Epoch 78 | Train Loss: 6.941903246400204 | Test Loss: 5.555033413914301
Epoch 79 | Train Loss: 7.425363309824086 | Test Loss: 5.988872335308184
Epoch 80 | Train Loss: 7.433262957458166 | Test Loss: 5.476744483335543
Epoch 81 | Train Loss: 7.211899331370566 | Test Loss: 15.153830270140858
Epoch 82 | Train Loss: 7.46004300878403 | Test Loss: 5.847677650971938
Epoch 83 | Train Loss: 7.380184983224311 | Test Loss: 6.058967593994181
Epoch 84 | Train Loss: 7.443726618191663 | Test Loss: 5.7980646852845865
Epoch 85 | Train Loss: 7.246184830351713 | Test Loss: 6.87350952903093
Epoch 86 | Train Loss: 7.5603033242073465 | Test Loss: 5.393235385986203
Epoch 87 | Train Loss: 7.518293426558375 | Test Loss: 8.531429242027007
Epoch 88 | Train Loss: 7.412414790531423 | Test Loss: 8.071294690466534
Epoch 89 | Train Loss: 6.979932168102327 | Test Loss: 6.163724761140549
Epoch 90 | Train Loss: 7.518989298175624 | Test Loss: 5.616503553370298
Epoch 91 | Train Loss: 8.15357474393033 | Test Loss: 9.022885505425728
Epoch 92 | Train Loss: 6.459100266672829 | Test Loss: 6.856685606036651
Epoch 93 | Train Loss: 6.901802006554096 | Test Loss: 5.313385965334157
Epoch 94 | Train Loss: 6.506028005607584 | Test Loss: 11.322740306793634
Epoch 95 | Train Loss: 7.648428589612879 | Test Loss: 10.980648287272048
Epoch 96 | Train Loss: 7.662709142077476 | Test Loss: 8.964476739956162
Epoch 97 | Train Loss: 7.408832040540082 | Test Loss: 6.098178997162288
Epoch 99 | Train Loss: 6.580421458517617 | Test Loss: 18.001119034775233
